source_id,ra,dec,parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
4057546726560113408,266.1550702473308,-28.635210143854255,1.6319672142726835,16.95814,17.91869,16.01028
4057539579733196544,266.1551285478775,-28.729871409485458,0.40578177030418566,16.730011,17.582272,15.822402
4057562124023692288,266.1551738670909,-28.465276670538167,1.4583136774718053,13.749145,14.163316,13.162177
4057532982663177344,266.15528009398446,-28.890949856747355,1.108404577625403,15.900345,16.486177,15.171048
4057558791129045376,266.15549164934015,-28.586926146634003,2.4149696922769244,16.327995,17.304811,15.354391
4057485256986488192,266.1555511036481,-28.96265269897354,1.1175790543545085,18.555696,19.580832,17.528803
4057107987059199232,266.15557419751667,-29.096811344517825,0.4989084794463303,17.103777,17.960415,16.204544
4057089329720641152,266.15567298745503,-29.331597528940467,0.9656546052293782,15.848789,16.444674,15.093981
4057485158212443520,266.1556902123959,-28.97645382846317,4.019376002512935,13.826391,14.2376175,13.080992
4057546833939752832,266.1557774060953,-28.611986146614964,0.48530793000449896,16.626173,17.613832,15.652186
4057538896840149888,266.15577756813013,-28.774600789961806,1.0083516058491293,15.826057,16.412222,15.09216
4057102936189089536,266.1557923871837,-29.188147425201173,0.8475242575470816,15.510231,16.175377,14.701387
4057535735744211584,266.1558747526447,-28.80720641393788,0.7087452805558361,15.323601,16.077621,14.463872
4057533949037803392,266.15591679758757,-28.861482336186754,0.9323537927128247,16.101294,16.895844,15.209284
4057560333016727040,266.1559405778533,-28.50988561002689,0.5350133572786879,13.2766075,14.33688,12.263551
4057485188267001344,266.1559607753294,-28.971568707132345,0.6317997177870605,15.737826,16.41123,14.935175
4057535731442359680,266.1559648624861,-28.81919430743913,0.646825594364942,17.915138,18.858374,16.959389
4057565383898394880,266.1559763063924,-28.401460577831287,0.5345005003380299,14.048981,14.648616,13.28365
4057101291209183104,266.15605648615895,-29.288796816426622,0.9067466674148622,16.229546,16.920792,15.40892
4057558791129046656,266.15671778928527,-28.578456385937685,0.5673138705835864,15.505984,16.178398,14.692382
4057101389988995200,266.1567485078351,-29.263399061389006,0.5099647489619815,15.53623,16.364294,14.630318
4057560337318216704,266.15675611963945,-28.507810580608123,0.7877540992633241,15.761377,16.454176,14.942373
4057560436095975168,266.1568470451936,-28.485047705996745,0.5973089154792525,17.231543,18.053497,16.360209
4057538999919368960,266.15696784723514,-28.753488695777847,0.6647704266669178,13.982815,14.527458,13.269127
4057102940476660864,266.1569757358593,-29.201976968326086,0.7423581126053392,15.592726,16.266893,14.7874365
4057540546107612416,266.1570794220539,-28.691225153941318,0.6452983000497363,15.132418,15.931117,14.245348
4057540541805956096,266.1570936050573,-28.681276950439578,0.5976656961820392,17.296911,18.462343,16.245432
4057103043555886464,266.1572016104369,-29.179841747530386,0.2590238730569858,15.339002,16.789528,14.174496
4057535834521621504,266.157335187666,-28.786325852940305,0.8157325701946823,16.742489,17.626377,15.820664
4057565388192126208,266.15735788366555,-28.40597411918964,1.6150060831856152,19.27223,20.758821,18.155102
4057108575473803904,266.15735811192275,-29.073766739550113,0.5610074551822952,15.77576,16.541748,14.905385
4057101286920010624,266.15740890150346,-29.286797020679707,0.7717421235073644,17.203846,18.100908,16.250988
4057102012763715456,266.1574388327173,-29.22576713894538,1.0630677786788851,14.427147,14.830514,13.848004
4057103043555886976,266.1575969224157,-29.178331889634112,0.4626130047083521,16.242828,17.143847,15.297834
